contract_id	contract_no	lvl	n_lvl	cs	ce	ma	scope	ratio	is_head	is_anchor
56	S10-0056	rent-scope-needs-review	rel=0.0000 档构成需按 tier note 人工核对 mgmt/infra 是否随档递增
67	S10-0067	rent-scope-needs-review	rel=0.0075 档构成需按 tier note 人工核对 mgmt/infra 是否随档递增
99	S10-0099	rent-scope-needs-review	rel=0.0145 档构成需按 tier note 人工核对 mgmt/infra 是否随档递增
298	C2024M-003	rent-scope-needs-review	rel=0.0160 档构成需按 tier note 人工核对 mgmt/infra 是否随档递增
59	S10-0059	tiers-outside-period	NULL
145	S10-0145	tiers-outside-period	NULL
--- DIGEST(期内单档消化) ---
--- DIGEST(期内单档消化) ---
contract_id	contract_no
10	S10-0010
70	S10-0070
104	S10-0104
106	S10-0106
141	S10-0141
150	S10-0150
160	S10-0160
162	S10-0162
163	S10-0163
164	S10-0164
166	S10-0166
205	S10-0205
213	S10-0213
