ym	rule_id	qty_total	qty_sharp	qty_peak	qty_flat	qty_valley	extra_qty_snap	cost_amount	base_snap	std_value	fold_add	price_snap	allocated_amount	gap_amount
2024-02	44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	NULL	0.00000000	NULL	1.11416875	0.00	0.00
2024-02	45	18.00	0.00	0.00	0.00	0.00	0.00	20.06	NULL	20.06000000	NULL	1.11416875	20.06	0.00
2024-02	46	12.00	0.00	0.00	0.00	0.00	0.00	13.37	NULL	13.37000000	NULL	1.11416875	13.37	0.00
2024-02	47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	NULL	0.00000000	NULL	1.11416875	0.00	0.00
2024-02	48	5.00	0.00	0.00	0.00	0.00	0.00	5.57	NULL	5.57000000	NULL	1.11416875	5.57	0.00
2024-02	49	296.80	0.00	0.00	0.00	0.00	0.00	330.68	4.00	82.67000000	NULL	1.11416875	330.69	0.01
2024-02	50	644.50	0.00	0.00	0.00	0.00	170.00	718.08	3.00	302.50000000	NULL	1.11416875	302.50	-415.58
2024-02	51	NULL	NULL	NULL	NULL	NULL	0.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2024-02	52	0.00	0.00	0.00	0.00	0.00	0.00	0.00	NULL	0.00000000	NULL	1.11416875	0.00	0.00
2024-02	53	26.48	0.00	0.00	0.00	0.00	0.00	29.50	1503.10	0.02000000	NULL	1.11416875	0.00	-29.50
2024-02	54	6.86	0.00	1.51	0.00	1.65	0.00	7.64	1503.10	0.01000000	NULL	1.11416875	0.00	-7.64
2024-02	55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	NULL	0.00000000	NULL	1.11416875	0.00	0.00
2024-02	56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	NULL	0.00000000	NULL	1.11416875	0.00	0.00
2024-02	57	9.00	0.00	0.00	0.00	0.00	0.00	10.03	NULL	10.03000000	NULL	1.11416875	10.03	0.00
2024-02	58	35.00	0.00	0.00	0.00	0.00	0.00	38.99	4.00	9.75000000	NULL	1.11416875	0.00	-38.99
2024-02	59	341.44	0.00	0.00	0.00	0.00	100.00	380.42	3.00	163.95000000	NULL	1.11416875	0.00	-380.42
2024-02	60	163.30	0.00	0.00	0.00	0.00	0.00	181.94	3.00	60.65000000	NULL	1.11416875	0.00	-181.94
2024-02	61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	NULL	0.00000000	NULL	1.11416875	0.00	0.00
2024-02	62	0.00	0.00	0.00	0.00	0.00	0.00	0.00	NULL	0.00000000	NULL	1.11416875	0.00	0.00
2024-02	63	0.00	0.00	0.00	0.00	0.00	0.00	0.00	NULL	0.00000000	NULL	1.11416875	0.00	0.00
2024-02	64	0.00	0.00	0.00	0.00	0.00	0.00	0.00	NULL	0.00000000	NULL	1.11416875	0.00	0.00
2024-02	65	0.00	0.00	0.00	0.00	0.00	0.00	0.00	NULL	0.00000000	NULL	1.11416875	0.00	0.00
2024-02	66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	NULL	0.00000000	NULL	1.11416875	0.00	0.00
2024-02	67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	NULL	0.00000000	NULL	1.11416875	0.00	0.00
2024-02	68	26.00	0.00	0.00	0.00	0.00	0.00	28.97	4.00	7.24000000	NULL	1.11416875	0.00	-28.97
2024-02	69	363.10	0.00	0.00	0.00	0.00	100.00	404.55	3.00	171.99000000	NULL	1.11416875	171.99	-232.56
2024-02	70	551.10	0.00	0.00	0.00	0.00	100.00	614.02	3.00	241.81000000	NULL	1.11416875	241.81	-372.21
2024-02	71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	NULL	0.00000000	NULL	1.11416875	0.00	0.00
2024-02	72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	NULL	0.00000000	NULL	1.11416875	0.00	0.00
2024-02	73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	NULL	0.00000000	NULL	1.11416875	0.00	0.00
2024-02	74	0.00	0.00	0.00	0.00	0.00	0.00	0.00	NULL	0.00000000	NULL	1.11416875	0.00	0.00
2024-02	75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	NULL	0.00000000	NULL	1.11416875	0.00	0.00
2024-02	76	0.00	0.00	0.00	0.00	0.00	0.00	0.00	NULL	0.00000000	NULL	1.11416875	0.00	0.00
2024-02	77	24.60	0.00	0.00	0.00	0.00	0.00	27.41	4.00	6.85000000	NULL	1.11416875	30.83	3.42
2024-02	78	135.00	0.00	0.00	0.00	0.00	0.00	150.41	3.00	50.14000000	NULL	1.11416875	50.14	-100.27
2024-02	79	152.90	0.00	0.00	0.00	0.00	0.00	170.36	3.00	56.79000000	NULL	1.11416875	56.79	-113.57
2024-02	80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	NULL	0.00000000	NULL	1.11416875	0.00	0.00
2024-02	81	0.00	0.00	0.00	0.00	0.00	0.00	0.00	NULL	0.00000000	NULL	1.11416875	0.00	0.00
2024-02	82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	NULL	0.00000000	NULL	1.11416875	0.00	0.00
2024-02	83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	NULL	0.00000000	NULL	1.11416875	0.00	0.00
2024-02	84	0.00	0.00	0.00	0.00	0.00	0.00	0.00	NULL	0.00000000	NULL	1.11416875	0.00	0.00
2024-02	85	0.00	0.00	0.00	0.00	0.00	0.00	0.00	NULL	0.00000000	NULL	1.11416875	0.00	0.00
2024-02	86	0.00	0.00	0.00	0.00	0.00	0.00	0.00	NULL	0.00000000	NULL	1.11416875	0.00	0.00
2024-02	87	19.53	0.00	0.00	0.00	0.00	0.00	21.76	4.00	5.44000000	NULL	1.11416875	5.44	-16.32
2024-02	88	169.10	0.00	0.00	0.00	0.00	0.00	188.41	3.00	62.80000000	NULL	1.11416875	0.00	-188.41
2024-02	89	176.67	0.00	0.00	0.00	0.00	200.00	196.84	3.00	139.89000000	NULL	1.11416875	0.00	-196.84
2024-02	90	860.93	0.00	0.00	0.00	0.00	0.00	974.20	15510.00	0.06000000	NULL	1.13156875	635.12	-339.08
2024-02	91	84.00	0.00	0.00	0.00	0.00	0.00	373.80	15510.00	0.02000000	NULL	4.45000000	211.71	-162.09
